,kp,damping_ratio,ramp_ratio,output_max,action_file,score,ate,success
214,944.4444444444445,0.8333333333333333,1.0,0.02,0,0.18388279107764574,0.015534196033895524,0.0
215,944.4444444444445,1.0,0.1,0.02,0,0.29337646917652005,0.024591509468883582,0.0
216,944.4444444444445,1.0,0.2,0.02,0,0.09913396392585108,0.009527845984141093,0.0
217,944.4444444444445,1.0,0.5,0.02,0,0.12123217480764213,0.012015641714168366,0.0
218,944.4444444444445,1.0,0.7,0.02,0,0.15050022007859326,0.013702724665715822,0.0
219,944.4444444444445,1.0,1.0,0.02,0,0.17749074109383883,0.015538856718202779,0.0
220,944.4444444444445,1.1666666666666665,0.1,0.02,0,0.26047561770637007,0.019631882195916682,0.0
221,944.4444444444445,1.1666666666666665,0.2,0.02,0,0.09985895294804542,0.009192132220071463,0.0
222,944.4444444444445,1.1666666666666665,0.5,0.02,0,0.1284630343205362,0.012376887725872482,0.0
223,944.4444444444445,1.1666666666666665,0.7,0.02,0,0.1551514797432644,0.013963993925889623,0.0
224,944.4444444444445,1.1666666666666665,1.0,0.02,0,0.19352897552486323,0.01691387192745338,0.0
225,944.4444444444445,1.3333333333333333,0.1,0.02,0,0.11837505289372437,0.010884317352186606,0.0
226,944.4444444444445,1.3333333333333333,0.2,0.02,0,0.11676145427658455,0.010775161463119081,0.0
227,944.4444444444445,1.3333333333333333,0.5,0.02,0,0.1435355351263771,0.013223464827677217,0.0
228,944.4444444444445,1.3333333333333333,0.7,0.02,0,0.15554713277668786,0.014140800350894328,0.0
229,944.4444444444445,1.3333333333333333,1.0,0.02,0,0.19942480815636415,0.01742865606007698,0.0
230,944.4444444444445,1.5,0.1,0.02,0,0.13940366872243534,0.01280125567212999,0.0
231,944.4444444444445,1.5,0.2,0.02,0,0.14718027886591767,0.013146153916523502,0.0
232,944.4444444444445,1.5,0.5,0.02,0,0.1449635992427548,0.013305439215707005,0.0
233,944.4444444444445,1.5,0.7,0.02,0,0.16631967893109453,0.014779487200604574,0.0
234,944.4444444444445,1.5,1.0,0.02,0,0.20975211419986398,0.018409383700607466,0.0
235,944.4444444444445,1.6666666666666665,0.1,0.02,0,0.13823449339487845,0.012446076156445872,0.0
236,944.4444444444445,1.6666666666666665,0.2,0.02,0,0.14605176933527406,0.013116470825752406,0.0
237,944.4444444444445,1.6666666666666665,0.5,0.02,0,0.1566346124319498,0.013993826665580768,0.0
238,944.4444444444445,1.6666666666666665,0.7,0.02,0,0.16593340003502582,0.014547538670914337,0.0
239,944.4444444444445,1.6666666666666665,1.0,0.02,0,0.2115852659980151,0.01846955388277376,0.0
240,944.4444444444445,1.8333333333333333,0.1,0.02,0,0.15596970033166768,0.01381965928869127,0.0
241,944.4444444444445,1.8333333333333333,0.2,0.02,0,0.16569889734117194,0.01444426880215524,0.0
242,944.4444444444445,1.8333333333333333,0.5,0.02,0,0.15867006246201884,0.013929165620483847,0.0
243,944.4444444444445,1.8333333333333333,0.7,0.02,0,0.202782251518345,0.01770158791661774,0.0
244,944.4444444444445,1.8333333333333333,1.0,0.02,0,0.22130643108880027,0.019310740578451675,0.0
245,944.4444444444445,2.0,0.1,0.02,0,0.15964341251117656,0.013691038959870273,0.0
246,944.4444444444445,2.0,0.2,0.02,0,0.16301277548095608,0.014154991291832475,0.0
247,944.4444444444445,2.0,0.5,0.02,0,0.19681366597520436,0.017198091559978188,0.0
248,944.4444444444445,2.0,0.7,0.02,0,0.20040105725606946,0.017200983700758808,0.0
249,944.4444444444445,2.0,1.0,0.02,0,0.2281638412494804,0.019857997949281,0.0
250,1155.5555555555557,0.5,0.1,0.02,0,0.8579527078795898,0.07064530126250863,0.0
251,1155.5555555555557,0.5,0.2,0.02,0,0.6554124773289893,0.05308485969910617,0.0
252,1155.5555555555557,0.5,0.5,0.02,0,0.19755505757115027,0.016530591109902702,0.0
253,1155.5555555555557,0.5,0.7,0.02,0,0.25436038628697727,0.019679363731393548,0.0
254,1155.5555555555557,0.5,1.0,0.02,0,0.24838882353133773,0.019345605036652423,0.0
255,1155.5555555555557,0.6666666666666666,0.1,0.02,0,0.5514615082290499,0.04848562744955191,0.0
256,1155.5555555555557,0.6666666666666666,0.2,0.02,0,0.26274360573656397,0.019687769485122648,0.0
257,1155.5555555555557,0.6666666666666666,0.5,0.02,0,0.1158518890038143,0.010917388930169834,0.0
258,1155.5555555555557,0.6666666666666666,0.7,0.02,0,0.1517939270484514,0.013751269193457882,0.0
259,1155.5555555555557,0.6666666666666666,1.0,0.02,0,0.1815767250920564,0.01521059061695599,0.0
260,1155.5555555555557,0.8333333333333333,0.1,0.02,0,0.5954076425893087,0.04939816495517078,0.0
261,1155.5555555555557,0.8333333333333333,0.2,0.02,0,0.23059139254593577,0.017163936971062266,0.0
262,1155.5555555555557,0.8333333333333333,0.5,0.02,0,0.11328073533766286,0.01063514014594262,0.0
263,1155.5555555555557,0.8333333333333333,0.7,0.02,0,0.2608709540394072,0.020083050871747513,0.0
264,1155.5555555555557,0.8333333333333333,1.0,0.02,0,0.1831317619902137,0.015410591231884256,0.0
265,1155.5555555555557,1.0,0.1,0.02,0,0.3610488290468394,0.03453794317042849,0.0
266,1155.5555555555557,1.0,0.2,0.02,0,0.11747480339082614,0.01083401715397314,0.0
267,1155.5555555555557,1.0,0.5,0.02,0,0.12905448817630646,0.012881564498416225,0.0
